tag,row,col,label,value,value2
2023-10,5,4,NGL C2 Relative % (%),0.6,0.0
2023-10,5,7,Bond Fee (%/yr),0.018,
2023-10,6,1,Sulphur (%),0.0,
2023-10,6,4,NGL C3 Relative % (%),0.3,0.0
2023-10,7,4,NGL C4 Relative % (%),0.1,0.0
2023-10,8,1,Evaluation Start Date,2024-01-01,
2023-10,9,1,Economic Start Date,2024-01-01,
2023-10,9,3,only incls net income / loss as of this date,Bid Round Royalty (%),0.3122
2023-10,9,4,Bid Round Royalty (%),0.3122,
2023-10,9,7,Surface Land Royalty (%),0.01,
2023-10,10,1,Depreciation (%),0.25,
2023-10,10,7,Community Royalty (%),0.0,
2023-10,11,1,Tax Rate (%),0.3,
2023-10,11,7,GORR,0.0,
2023-10,12,1,Inflation Rate (%),0.0,
2023-10,13,1,Discount Rate (%),0.1,
2023-10,14,1,Contract Duration (yrs),35.0,
2023-10,14,3,"effects total rev, roy, opex, cap; cut off of eval",Fixed,
2023-10,14,9,until,then,
2023-10,15,4,Battery Costs (US$/mth),-10000.0,2024-01-01
2023-10,15,7,Oil Costs (US$/bbl),-7.25,2024-01-01
2023-10,16,1,Oil Offset (US$/bbl),-7.46,
2023-10,16,3,"includes 0.79 $/bbl processing cost proposed by PEMEX & ~3% marketing fee; deducted prior to applying bid royalty, added a 2$/bbl deduction for possible quality adjustment
*CHECK IF CELL D428 IN USE",Oil Well Costs (US$/well/mth),-2500.0
2023-10,16,4,Oil Well Costs (US$/well/mth),-2500.0,
2023-10,16,7,Water Disposal (US$/bbl),-3.25,2024-01-01
2023-10,17,1,Gas Offset (US$/mmbtu),-0.45,
2023-10,17,4,Gas Well Costs (US$/well/mth),-2500.0,
2023-10,17,7,Sales Gas Processing (US$/mcf),-0.25,2024-01-01
2023-10,18,1,NGL Offset (US$/bbl),-1.0,
2023-10,18,4,Disposal Well Costs (US$/mth),-1500.0,2024-01-01
2023-10,19,1,Cond Offset (US$/bbl),-1.0,
2023-10,19,4,Block Fees (<=60 montns) (peso/km2/mth),-1150,2024-01-01
2023-10,19,7,HC Tax (peso/km2/mth) *preprod,-1500.0,2024-01-01
2023-10,20,4,Block Fees (>60 montns) (peso/km2/mth),-2750,0
2023-10,20,7,HC Tax (peso/km2/mth) *postprod,-6000.0,
2023-10,21,1,Abandonment Fund (US$),-150000.0,
2023-10,21,7,Block Extraction Area (% total),1.0,
